014,カルガモやオオハクチョウなどの水鳥にパンを与えると、病気や窒息や水質汚染が引き起こされる。,0,,問題文の通りです。そのほかにも、生態系を崩す恐れがあります。,3961,◯,╳,,
015,「ムクドリ」「コムクドリ」、「オオハクチョウ」「コハクチョウ」という和名の野鳥は存在します。では「コガモ」という和名の野鳥は存在するでしょうか？,0,,存在します。カルガモの幼鳥もよく小鴨と言われますが、実は別の鳥なんですね。実際にカルガモよりも1回り小さいです。,3639,◯,╳,,
016,電車内での案内は英語でもよく行われるが、以下4路線の案内のうち最もWPMが小さい（流れる英語がゆっくり）のはどれでしょう？,2,,実際に乗って聞いてみると、都営地下鉄はThe next stop is …の時点でかなり聞きやすいですが、駅名が特に遅くなります。(ここは英語では無いですが…)ちなみに英語の自動放送は基本会社内での違いはなく、具体的な路線は駒場に来る東大生が使っていそうなものを選んでいます。(特に意味はありません。),6846,JR中央線,東京メトロ銀座線,都営地下鉄新宿線,京王井の頭線
017,東京大学で実施される学園祭のうちの一つ「五月祭」の読み方は、「ごがつさい」である。,0,,「こんな簡単な問題が出ることなんてないでしょ」とか言って深読みして、「さつきさい」と勘違いしてくれることを期待してますが、いかがだったでしょうか？,2304,◯,╳,,
018,無理数の無理数乗は必ず無理数になる。,1,,結構有名な問題ですね。2020年度の横浜市立大学において同じような問題が出題されました。まず√2^√2を考えてみましょう。(^は乗という意味)これが有理数か無理数か分からないので一旦無理数と仮定しましょう。ここで、(√2^√2)^√2を考えます。すると、この値は√2^2=2となり、有理数となります。では、√2^√2が無理数でない時を考えてみます。すると、√2^√2が有理数となり、どちらにせよ無理数の無理数は有理数と分かります、,2978,◯,╳,,
019,オイラーの記法と呼ばれる微分の表記はどれ？,2,https://raw.githubusercontent.com/bull-frog/personal/main/q019.png,①ライプニッツの記法、②ルジャンドルの記法、③オイラーの記法、④ニュートンの記法です。各記法に本質的な差はありませんが、それぞれの記法には長所、短所があるので場合によって使い分けましょう。オイラーの記法は線形微分方程式を解くのに有用だそうです。（Wikipedia参照),6471,①,②,③,④
020,お酢に卵を殻ごと入れるとどうなる？,0,,卵の殻とお酢が反応して二酸化炭素と酢酸カルシウムになり水に溶けるから,4238,透明になる,鏡みたいになる,消えてなくなる,硬くなる
021,カイコガは飛べない。,0,,カイコは完全に家畜化された動物である。体が大きく、飛ぶための筋力が衰退しているため、飛ぶことはできず、自然界で生き残ることもできない。,2089,◯,╳,,
022,一番飛ぶのが速いトンボはどれ？,2,,ギンヤンマは昆虫界最速で某書物によると最高速度は時速70km！ちなみに日本最大のトンボはオニヤンマです。,2941,アキアカネ,オニヤンマ,ギンヤンマ,シオカラトンボ
023,音楽グループ「EGOIST」の楽曲「elbadaernU」は、なんと読むでしょう？（知識問題ではありません！）,1,,Uが大文字であることに着目して、逆から読むと「Unreadable」、つまり「アンリーダブル」です。逆から書いてるから読めない、つまり「Unreadable」というわけですね。,5677,エルバダインユー,アンリーダブル,クレイモア,
024,文房具メーカーLAMY社から発売されている筆記用具「LAMY 2000」シリーズ。さて、なぜ名前に「2000」と入っているのでしょうか？,2,,正解は3番です。とてもかっこいいデザインなので、皆さん是非お買い求めください。ちなみにこのペンは若干壊れやすいというのが専らの評価であり、また海外メーカーの製品なので値段は情勢によりますね。,6669,「2000日間使用しても壊れない耐久性」がウリの商品だから。,高級筆記用具としては格安の「2000円」で売られている商品だから。,「2000年になっても通用するデザイン」を目指して50年前に作られた商品だから。,
025,[2022東大入試理類数学第5問(改題)] 平面上で原点を通らない円周がある。原点周りにこの円周を1回転させるとき、円周の通過する部分の形状はどうなるか？,2,,よく考えればドーナツ型ですが、入試本番の緊張した精神状態では円板だと思ってしまうものです。,16067,与えられた条件だけではわからない。,円板になる。,ドーナツ型になる。,条件によって円板になる場合とドーナツ型になる場合がある。
026,素数であるものを1つ選べ。,2,,(1)6　(2)894　(3)133　(4)1,10534,東大入試理系数学の大問数,遣唐使が廃止された年(西暦),ニホニウムの原子番号,iの4乗(ただしiは虚数単位)
027,最大であるものを選べ。,0,,(1)3116人(多いですね！)　(2)2019年　(3)900点　(4)1013.25hPa,9269,今年度の東京大学入学者数,令和元年の西暦,共通テストの満点,１気圧(ただし単位は[hPa])
028,人名に由来する言葉を「エポニム」と言いますが、エポニムはどれでしょう？,2,,18世紀フランスの蔵相エティエンヌ・ド・シルエットに由来します。当時のフランスは相次ぐ戦争のため財政難に陥っていたので、シルエットは倹約政策として肖像画を黒一色の影絵で描くことを主張しました。,6869,シャドー,フィルター,シルエット,モザイク
029,A君とB君にはそれぞれ1つずつ自然数が割り振られており、2人の数の差は2023であることが分かっています。ただし、0は自然数に含まれません。次の会話から、A君の数を当ててください。B君「僕にはA君の数は分からないよ。」A君「僕もB君の数が分からなかったけど、今分かったよ。僕の数があと1大きかったら分からなかったね。」,1,,自分の数が2023以下の場合、すぐに相手の数を確定できるはずなので、2人の数は2023よりも大きいことが分かります。この状況でA君は相手の数が分かったので、A君の数は2023より大きく、4046以下です。最後のA君の発言から、A君の数はこのうち最大のものなので、4046であると分かります。,46510,2023,4046,6069,選択肢1〜3のどれでもない
030,東大の1、2年生は駒場キャンパスに通いますが、その後も赤門をくぐらず駒場に残留する学科はどれ？,0,,他にも教養学部後期課程に進学したり、留年などすると駒場残留孤児になることができます。単位の取り漏らしなどで、本郷に通いつつ駒場の授業を受けることを「駒バック」と言うらしいです。,7466,理学部数学科,理学部天文学科,工学部マテリアル工学科,経済学部経営学科
031,「緒」の読みとして正しいのはどれ？,2,,誰もが見たことのある漢字ですが、この読みは漢検準一級レベルです。,4443,すそ,えりあし,いとぐち,ひも
032,四字熟語「鶏鳴狗盗」の意味として正しいのはどれ？,3,,中国の故事に由来する四字熟語です。,7483,小さな悪事を働くこと。,幸運の後に不幸がやってくること。,ありふれた平凡な人々。,つまらない技能も役立つことがあるということ。
033,空欄に当てはまるものを選べ。「桃栗三年柿八年、(?)は九年の花盛り。」,3,,よく知っているフレーズにも意外な続きが。,7007,蜜柑(みかん),檸檬(れもん),橙(だいだい),柚子(ゆず)
034,ジャイアントパンダは竹を主食とするが、実は肉のほうがおいしいと感じている。,1,,ジャイアントパンダはうま味受容体の遺伝子が欠損しており、肉をおいしいと感じることがありません。肉食に適した消化器官を持ちながら、竹を主食としているのはこのような理由かもしれませんね。,3187,◯,╳,,
035,これはGoogleマップの画面ですが、この地図ともっとも関わりが深いものはどれでしょう？,1,https://raw.githubusercontent.com/bull-frog/personal/main/q035.jpg,地図上の放射状のものは、鉄道の「転車台」です。場所は新山口駅付近です。,8428,記念碑,鉄道駅,造船所,競技場
036,これはGoogleマップの画面ですが、この地図ともっとも関わりが深いものはどれでしょう？,1,https://raw.githubusercontent.com/bull-frog/personal/main/q036.jpg,アメリカ・ネバダ州にある核実験場です。1992年までに928回の核実験が行われ、多数のクレーターができました。,8988,遺跡,軍事基地,農地,炭鉱
037,ジャイアントパンダの尻尾は白い。,0,,ジャイアントパンダの尻尾は、イラストでは黒く描かれることもありますが、実際は周りと同じ白です。とはいっても、土の上に座っていると茶色くなってきます。,2067,◯,╳,,
038,百人一首でも有名な、逢坂の関があった都道府県はどれでしょう？,2,,逢坂の関は、京都と滋賀の境目に位置する東海道の関所でした。逢坂山付近は今も、国道１号線や東海道本線が通る交通の要衝です。,4983,愛知県,岡山県,滋賀県,奈良県
039,東京大学唯一のランニングサークルの通称は何でしょう？,1,,「ホノルルマラソンを走る会」、通称「ホノマラ」と呼ばれています。ちなみに、ホノルルマラソンに参加しているわけではありません。（昔は参加していた時期もあったようですが。）,3536,カンマラ,ホノマラ,コガマラ,クキマラ
040,東京大学唯一の点字サークルの名称は？,0,,点友会では、新入会員向けの点字講習会や文化祭の点字パンフレットの作成などを行っています。,3995,点友会,点字の会,点蘭会,六点会
041,安田講堂の入口前方の壁にあるものは何？,1,,前方右側の壁に生えている。結構デカい。,5961,学生運動時代の落書き,壁から生えている草,受験票の一部,
042,フィナーレの語源は何語？,1,,イタリア語で「最後」という意味。音楽系の言葉にはイタリア語が語源のものが多くあります。,3325,英語,イタリア語,フランス語,ギリシャ語
043,日本の国鳥は何？,1,,"日本固有種の美しい留鳥で、民話や童謡でもなじみがあり、オスは勇敢でメスは母性愛の象徴であることなど
から、１９４７年に日本鳥学会がキジを国鳥に選んだという。",2739,ハト,キジ,ライチョウ,ハシビロコウ
044,tan 1°は有理数か？,1,,"tan1°が有理数であると仮定する。
また、tan n°（nは任意の自然数）が有理数であると仮定すると、加法定理により、
tan(n+1)°= (tan n°+ tan1°)/(1- tan n °tan 1°)も有理数。
（∵有理数のみを加減乗除した値は有理数である）
ゆえに、数学的帰納法により、tan 30° は有理数。・・・①
しかし、実際は tan°30 = 1/√3・・・②
ゆえに①と②は矛盾。
ゆえに前述の仮定は成立しえず、tan°1は無理数である。//",2848,◯,╳,,
045,東大が最後に箱根駅伝に出場したのはいつ？,1,,最初にして最後の出場。結果は17位。,4051,1974,1984,1994,2004
046,東大躰道部は全国学生大会を何連覇しているでしょう？,3,,2017年度世界大会優勝！みなさんぜひ躰道部へ！！,3511,4,7,10,13
047,東大本郷キャンパスの食堂にはあって駒場キャンパスの食堂に無いメニューはどれ？,0,,結局駒場の食堂はたいしたことない,6954,赤門拉麺,赤門うどん,赤門パスタ,赤門冷麺
048,現在、飛べるペンギンは存在する。,1,,飛べるペンギンは存在しません。ちなみに、鳥類のうち飛翔能力を放棄した種を「飛べない鳥」と言います。ダチョウ、ヒクイドリなどがこれに該当します。,2208,◯,╳,,
